,state,gender,age,population,population_fraction,cumulative_fraction
6327,Vermont,F,21,5099,2.0579261700441347e-05,0.9508191645950601
6328,Vermont,F,22,4577,1.8472500647758394e-05,0.9508376370957079
6329,Vermont,F,23,4157,1.6777405547898546e-05,0.9508544145012559
6330,Vermont,F,24,3699,1.4928944700908521e-05,0.9508693434459567
6331,Vermont,F,25,3444,1.3899779818850756e-05,0.9508832432257756
6332,Vermont,F,26,3303,1.3330712178183522e-05,0.9508965739379538
6333,Vermont,F,27,3570,1.440830834880871e-05,0.9509109822463025
6334,Vermont,F,28,3554,1.4343733297385478e-05,0.9509253259795999
6335,Vermont,F,29,3472,1.4012786158841413e-05,0.9509393387657588
6336,Vermont,F,30,3719,1.5009663515187561e-05,0.950954348429274
6337,Vermont,F,31,3602,1.4537458451655175e-05,0.9509688858877257
6338,Vermont,F,32,3718,1.500562757447361e-05,0.9509838915153002
6339,Vermont,F,33,3628,1.4642392910217928e-05,0.9509985339082104
6340,Vermont,F,34,3681,1.4856297768057385e-05,0.9510133902059785
6341,Vermont,F,35,3733,1.506616668518289e-05,0.9510284563726638
6342,Vermont,F,36,3532,1.4254942601678534e-05,0.9510427113152654
6343,Vermont,F,37,3540,1.428723012739015e-05,0.9510569985453928
6344,Vermont,F,38,3443,1.3895743878136804e-05,0.9510708942892709
6345,Vermont,F,39,3260,1.3157166727483585e-05,0.9510840514559984
6346,Vermont,F,40,3535,1.426705042382039e-05,0.9510983185064222
6347,Vermont,F,41,3456,1.394821110741818e-05,0.9511122667175297
6348,Vermont,F,42,3415,1.3782737538146148e-05,0.9511260494550678
6349,Vermont,F,43,3701,1.4937016582336425e-05,0.9511409864716501
6350,Vermont,F,44,4142,1.6716866437189265e-05,0.9511577033380874
6351,Vermont,F,45,4215,1.7011490109307763e-05,0.9511747148281967
6352,Vermont,F,46,4117,1.6615967919340465e-05,0.9511913307961161
6353,Vermont,F,47,3994,1.6119547211524367e-05,0.9512074503433275
6354,Vermont,F,48,4209,1.698727446502405e-05,0.9512244376177925
6355,Vermont,F,49,4326,1.7459479528556437e-05,0.9512418970973211
6356,Vermont,F,50,4622,1.8654117979886234e-05,0.951260551215301
6357,Vermont,F,51,4899,1.9772073557650944e-05,0.9512803232888586
6358,Vermont,F,52,4933,1.9909295541925312e-05,0.9513002325844006
6359,Vermont,F,53,5120,2.0664016455434343e-05,0.951320896600856
6360,Vermont,F,54,5253,2.120079657038996e-05,0.9513420973974264
6361,Vermont,F,55,5154,2.0801238439708712e-05,0.9513628986358661
6362,Vermont,F,56,5119,2.065998051472039e-05,0.9513835586163808
6363,Vermont,F,57,5211,2.1031287060403977e-05,0.9514045899034412
6364,Vermont,F,58,5216,2.1051466763973737e-05,0.9514256413702052
6365,Vermont,F,59,5024,2.0276566146894946e-05,0.9514459179363521
6366,Vermont,F,60,4906,1.9800325142648608e-05,0.9514657182614947
6367,Vermont,F,61,4873,1.966713909908819e-05,0.9514853854005938
6368,Vermont,F,62,4791,1.9336191960544126e-05,0.9515047215925544
6369,Vermont,F,63,4553,1.8375638070623545e-05,0.951523097230625
6370,Vermont,F,64,4538,1.8315098959914265e-05,0.9515414123295849
6371,Vermont,F,65,4221,1.7035705753591475e-05,0.9515584480353385
6372,Vermont,F,66,4103,1.6559464749345137e-05,0.9515750075000878
6373,Vermont,F,67,3995,1.612358315223832e-05,0.9515911310832401
6374,Vermont,F,68,4191,1.6914627532172914e-05,0.9516080457107723
6375,Vermont,F,69,3003,1.2119929963997916e-05,0.9516201656407363
6376,Vermont,F,70,3130,1.2632494434669822e-05,0.9516327981351709
6377,Vermont,F,71,2952,1.1914096987586363e-05,0.9516447122321584
6378,Vermont,F,72,3030,1.222890036327462e-05,0.9516569411325216
6379,Vermont,F,73,2498,1.0081779903452145e-05,0.9516670229124251
6380,Vermont,F,74,2349,9.480424737073294e-06,0.9516765033371621
6381,Vermont,F,75,2132,8.604625602145706e-06,0.9516851079627643
6382,Vermont,F,76,1977,7.979054791483143e-06,0.9516930870175557
6383,Vermont,F,77,1949,7.866048451492486e-06,0.9517009530660072
6384,Vermont,F,78,1751,7.066932190129987e-06,0.9517080199981973
6385,Vermont,F,79,1654,6.675445940876641e-06,0.9517146954441382
6386,Vermont,F,80,1605,6.477684845892992e-06,0.9517211731289841
6387,Vermont,F,81,1500,6.05391107092803e-06,0.951727227040055
6388,Vermont,F,82,1449,5.848078094516477e-06,0.9517330751181495
6389,Vermont,F,83,1417,5.718927991670012e-06,0.9517387940461411
6390,Vermont,F,84,1366,5.513095015258459e-06,0.9517443071411564
6391,Vermont,F,85,9528,3.845444312253484e-05,0.951782761584279
6392,Washington,M,18,44422,0.00017928455839517663,0.9519620461426742
6393,Washington,M,19,43909,0.00017721412080891924,0.9521392602634832
6394,Washington,M,20,46210,0.00018650082039172282,0.9523257610838749
6395,Washington,M,21,48089,0.0001940843529932387,0.9525198454368682
6396,Washington,M,22,51477,0.00020775812013210812,0.9527276035570003
6397,Washington,M,23,55145,0.00022256195067088414,0.9529501655076711
6398,Washington,M,24,58085,0.00023442761636990308,0.953184593124041
